"id","serverTime","userTime","gameVersion","playerId","playerBirthdate","playerRegion","playerCountry","playerGender","playerExternalId","playerCustomData","type","coordinates","section","customData.biobrick","customData.platform","customData.localplayerguid","customData.devices","customData.sametab","customData.device","customData.slot","customData.energy","customData.option","customData.sound","customData.dnabit","customData.duration","customData.nanobot","customData.count","customData.plasmid","customData.language","customData.total","customData.controls","customData.message","customData.chapter","customData.life","customData.source"
"86f0d5e4-f67b-485e-830f-3b14a10d56b8","2017-05-13T09:46:21.021Z","2017-05-13T09:46:20.035Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2aea4736-0423-4fe0-93e3-a6b4958a9a8c",,,,,,,"add","[-125, 373]","","""ATC""",,,"""slot0[null:null:ATC:null]""",,,,"""100""",,,,,,,,,,,,,"""100""",
"09709095-e6ae-4f7f-92ad-637ed75ae8db","2017-05-13T09:46:22.094Z","2017-05-13T09:46:21.099Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2aea4736-0423-4fe0-93e3-a6b4958a9a8c",,,,,,,"add","[-125, 373]","","""PRBAD3""",,,"""slot0[PRBAD3:null:ATC:null]""",,,,"""100""",,,,,,,,,,,,,"""100""",
"d83335fe-6e09-4fab-ba9e-7ce1bd0866db","2017-05-13T09:46:29.597Z","2017-05-13T09:46:28.616Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2aea4736-0423-4fe0-93e3-a6b4958a9a8c",,,,,,,"select","[-125, 373]","",,,,"""slot0[PRBAD3:null:ATC:null]""",,,"""slot2""","""100""",,,,,,,,,,,,,"""100""",
"9cc5456b-7d61-4b71-9770-ba792eb604ea","2017-05-13T09:46:30.594Z","2017-05-13T09:46:29.615Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2aea4736-0423-4fe0-93e3-a6b4958a9a8c",,,,,,,"select","[-125, 373]","",,,,"""slot0[PRBAD3:null:ATC:null]""",,,"""slot3""","""100""",,,,,,,,,,,,,"""100""",
"3955dbaf-a055-4c82-aba3-a1048f4d8d68","2017-05-13T09:46:31.406Z","2017-05-13T09:46:30.423Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2aea4736-0423-4fe0-93e3-a6b4958a9a8c",,,,,,,"select","[-125, 373]","",,,,"""slot0[PRBAD3:null:ATC:null]""",,,"""slot6""","""100""",,,,,,,,,,,,,"""100""",
"bc70b385-aca1-4089-bfbb-b4e597733641","2017-05-13T09:46:32.375Z","2017-05-13T09:46:31.394Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2aea4736-0423-4fe0-93e3-a6b4958a9a8c",,,,,,,"select","[-125, 373]","",,,,"""slot0[PRBAD3:null:ATC:null]""",,,"""slot7""","""100""",,,,,,,,,,,,,"""100""",
"7579e783-ec4d-49e4-8adb-ba305b8350e8","2017-05-13T09:46:33.621Z","2017-05-13T09:46:32.641Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2aea4736-0423-4fe0-93e3-a6b4958a9a8c",,,,,,,"select","[-125, 373]","",,,,"""slot0[PRBAD3:null:ATC:null]""",,,"""slot5""","""100""",,,,,,,,,,,,,"""100""",
"72a75e8e-5112-4b20-b58b-b4c4538d5d35","2017-05-13T11:48:05.234Z","2017-05-13T11:48:03.412Z","915953b4-f9e1-41ca-acc4-4e4e90667102","ad1d5579-323d-41ef-9bb6-2e6d84bae6db",,,,,,,"configure","[-229, -608]","",,,,,,,,,,,,,,,,"""French""",,,,,,
"c646b8d8-e5ab-4b97-99da-d6ab063a5029","2017-05-13T09:46:39.144Z","2017-05-13T09:46:38.163Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2aea4736-0423-4fe0-93e3-a6b4958a9a8c",,,,,,,"select","[-125, 373]","",,,,"""slot0[PRBAD3:null:ATC:null]""",,,"""slot0""","""100""",,,,,,,,,,,,,"""100""",
"26bf4ce8-d5f2-4695-9483-ce0fa78b4d72","2017-05-13T09:46:39.774Z","2017-05-13T09:46:38.793Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2aea4736-0423-4fe0-93e3-a6b4958a9a8c",,,,,,,"add","[-125, 373]","","""RBS1""",,,"""slot0[PRBAD3:RBS1:ATC:null]""",,,,"""100""",,,,,,,,,,,,,"""100""",
"5674f088-0349-49e4-af75-e1402f474c7a","2017-05-13T09:46:40.750Z","2017-05-13T09:46:39.767Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2aea4736-0423-4fe0-93e3-a6b4958a9a8c",,,,,,,"select","[-125, 373]","",,,,"""slot0[PRBAD3:RBS1:ATC:null]""",,,"""slot0""","""100""",,,,,,,,,,,,,"""100""",
"550edae2-36a8-4321-92a4-14efa0e8eae1","2017-05-13T09:46:41.733Z","2017-05-13T09:46:40.753Z","915953b4-f9e1-41ca-acc4-4e4e90667102","2aea4736-0423-4fe0-93e3-a6b4958a9a8c",,,,,,,"select","[-125, 373]","",,,,"""slot0[PRBAD3:RBS1:ATC:null]""",,,"""slot0""","""100""",,,,,,,,,,,,,"""100""",
