,coordinates,customData,customData.biobrick,customData.chapter,customData.controls,customData.count,customData.device,customData.devices,customData.dnabit,customData.duration,customData.energy,customData.graphics,customData.language,customData.life,userId,customData.message,customData.nanobot,customData.newtab,customData.option,customData.plasmid,customData.platform,customData.sametab,customData.slot,customData.sound,customData.source,customData.total,id,playerCustomData,sessionId,section,serverTime,type,userTime
62485,"[-580, -220]",,,,,,"""PRCONS:RBS2:FLUO1:DTER""","""slot0[PRCONS:RBS2:FLUO1:DTER]""",,,"""100""",,,"""100""",48167450-4258-4ea3-9c84-eaf7bc82572e,,,,,,,,,,,,83cbb823-029b-453f-a496-62e85d3b1e8d,,a01593bd-47d8-42e5-8ea6-f3e2d479a23c,tutorial.Checkpoint02,2018-04-27 10:42:17.200000+00:00,add,2018-04-27 10:36:56.661000+00:00
62500,"[-580, -220]",,,,,,"""PRCONS:RBS1:MOV:DTER""","""slot0[PRCONS:RBS1:MOV:DTER]""",,,"""100""",,,"""100""",48167450-4258-4ea3-9c84-eaf7bc82572e,,,,,,,,,,,,6b94b2cc-e2ad-4dac-9f28-10da77f9db12,,a01593bd-47d8-42e5-8ea6-f3e2d479a23c,tutorial.Checkpoint02,2018-04-27 10:42:36.809000+00:00,add,2018-04-27 10:37:16.275000+00:00
62514,"[-597, -321]",,,"""3""",,,,"""slot0[PRCONS:RBS1:MOV:DTER]""",,,"""100""",,,"""100""",48167450-4258-4ea3-9c84-eaf7bc82572e,,,,,,,,,,,,da20f1ed-52d2-41a1-8b5f-d071fefa59f4,,a01593bd-47d8-42e5-8ea6-f3e2d479a23c,tutorial.Checkpoint03,2018-04-27 10:42:46.169000+00:00,newfurthest,2018-04-27 10:37:25.596000+00:00
62515,"[-597, -321]",,,,,,,"""slot0[PRCONS:RBS1:MOV:DTER]""",,,"""100""",,,"""100""",48167450-4258-4ea3-9c84-eaf7bc82572e,,,,,,,,,,,,2b767957-eb46-4414-aa1d-d46176eff7b5,,a01593bd-47d8-42e5-8ea6-f3e2d479a23c,tutorial.Checkpoint03,2018-04-27 10:42:46.201000+00:00,reach,2018-04-27 10:37:25.596000+00:00
62516,"[-597, -321]",,,"""2""",,,,"""slot0[PRCONS:RBS1:MOV:DTER]""",,"""20""","""100""",,,"""100""",48167450-4258-4ea3-9c84-eaf7bc82572e,,,,,,,,,,,,2da3ff25-0d85-4f41-87ed-f8ad454aa94e,,a01593bd-47d8-42e5-8ea6-f3e2d479a23c,tutorial.Checkpoint03,2018-04-27 10:42:46.228000+00:00,newownrecord,2018-04-27 10:37:25.596000+00:00
62519,"[-663, -394]",,,,,"""2""",,,,,,,,,48167450-4258-4ea3-9c84-eaf7bc82572e,,"""Nanobot2""",,,,,,,,,,14acf2e5-729a-48fb-8ddc-b03c823784ab,,a01593bd-47d8-42e5-8ea6-f3e2d479a23c,tutorial.Checkpoint03,2018-04-27 10:43:02.301000+00:00,pickup,2018-04-27 10:37:41.741000+00:00
62527,"[-646, -477]",,,,,,,"""slot0[PRCONS:RBS1:MOV:DTER]""",,,"""100""",,,"""100""",48167450-4258-4ea3-9c84-eaf7bc82572e,,,,,,,,,,,,186f7b13-78a9-42cd-873c-bfeec4b69660,,a01593bd-47d8-42e5-8ea6-f3e2d479a23c,tutorial.Checkpoint04,2018-04-27 10:43:34.902000+00:00,reach,2018-04-27 10:38:14.370000+00:00
62528,"[-648, -494]",,,,,,,,,,,,,,48167450-4258-4ea3-9c84-eaf7bc82572e,"""T2_NEED4FLAGELLA""",,,,,,,,,,,81118e47-6adb-4870-95ad-651a45cd5895,,a01593bd-47d8-42e5-8ea6-f3e2d479a23c,tutorial.Checkpoint04,2018-04-27 10:43:36.421000+00:00,hint,2018-04-27 10:38:15.887000+00:00
62532,"[-639, -495]",,,,,,"""PRCONS:RBS2:FLUO1:DTER""","""slot0[PRCONS:RBS2:FLUO1:DTER]""",,,"""100""",,,"""100""",48167450-4258-4ea3-9c84-eaf7bc82572e,,,,,,,,,,,,1dddcbd0-b72e-439a-a8d7-c3719fb64cb6,,a01593bd-47d8-42e5-8ea6-f3e2d479a23c,tutorial.Checkpoint04,2018-04-27 10:43:48.283000+00:00,add,2018-04-27 10:38:27.732000+00:00
62534,"[-639, -495]",,"""RBS3""",,,,,"""slot0[PRCONS:RBS3:FLUO1:DTER]""",,,"""100""",,,"""100""",48167450-4258-4ea3-9c84-eaf7bc82572e,,,,,,,,,,,,bc059276-2133-49d5-889e-ac91ad856afd,,a01593bd-47d8-42e5-8ea6-f3e2d479a23c,tutorial.Checkpoint04,2018-04-27 10:43:50.210000+00:00,add,2018-04-27 10:38:29.667000+00:00
62535,"[-639, -495]",,,,,,"""PRCONS:RBS3:FLUO1:DTER""","""slot0[PRCONS:RBS3:FLUO1:DTER]""",,,"""100""",,,"""100""",48167450-4258-4ea3-9c84-eaf7bc82572e,,,,,,,,,,,,28ea1e57-543a-4678-9f21-a35f57cc3d46,,a01593bd-47d8-42e5-8ea6-f3e2d479a23c,tutorial.Checkpoint04,2018-04-27 10:43:50.242000+00:00,craft,2018-04-27 10:38:29.667000+00:00
62536,"[-639, -495]",,"""RBS2""",,,,,"""slot0[PRCONS:RBS2:FLUO1:DTER]""",,,"""100""",,,"""100""",48167450-4258-4ea3-9c84-eaf7bc82572e,,,,,,,,,,,,d071399d-2f4c-491a-b41b-d07c958b3241,,a01593bd-47d8-42e5-8ea6-f3e2d479a23c,tutorial.Checkpoint04,2018-04-27 10:43:53.122000+00:00,add,2018-04-27 10:38:32.586000+00:00
62538,"[-639, -495]",,"""MOV""",,,,,"""slot0[PRCONS:RBS2:MOV:DTER]""",,,"""100""",,,"""100""",48167450-4258-4ea3-9c84-eaf7bc82572e,,,,,,,,,,,,3e82c14a-bb46-4163-adca-191c1a7736ae,,a01593bd-47d8-42e5-8ea6-f3e2d479a23c,tutorial.Checkpoint04,2018-04-27 10:43:55.942000+00:00,add,2018-04-27 10:38:35.404000+00:00
62539,"[-639, -495]",,,,,,"""PRCONS:RBS2:MOV:DTER""","""""",,,"""100""",,,"""100""",48167450-4258-4ea3-9c84-eaf7bc82572e,,,,,,,,,,,,2ec2df51-89e9-4369-95eb-e0912a1b4e11,,a01593bd-47d8-42e5-8ea6-f3e2d479a23c,tutorial.Checkpoint04,2018-04-27 10:43:59.597000+00:00,remove,2018-04-27 10:38:38.605000+00:00
