,coordinates,customData,customData.biobrick,customData.chapter,customData.controls,customData.count,customData.device,customData.devices,customData.dnabit,customData.duration,customData.energy,customData.graphics,customData.language,customData.life,userId,customData.message,customData.nanobot,customData.newtab,customData.option,customData.plasmid,customData.platform,customData.sametab,customData.slot,customData.sound,customData.source,customData.total,id,playerCustomData,sessionId,section,serverTime,type,userTime
15569,"[-586, -445]",,,,,,,"""slot0[PRCONS:RBS1:MOV:DTER]""",,,"""100""",,,"""0""",148832b8-0ab8-43c2-bdcb-8432f4e3f396,,,,,,,,,,"""AMPICILLIN""",,18365258-6cf7-4697-8bbd-f7a08d83312d,,23181973-5361-4278-91a8-f2e9dddce069,tutorial.Checkpoint03,2018-05-04 08:03:50.295000+00:00,death,2018-05-04 08:03:50.152000+00:00
15570,"[-649, -477]",,,,,,,"""slot0[PRCONS:RBS1:MOV:DTER]""",,,"""100""",,,"""100""",148832b8-0ab8-43c2-bdcb-8432f4e3f396,,,,,,,,,,,,7bb2dc68-606a-41a9-a1af-47ea34037e0e,,23181973-5361-4278-91a8-f2e9dddce069,tutorial.Checkpoint04,2018-05-04 08:04:12.754000+00:00,reach,2018-05-04 08:04:12.568000+00:00
15571,"[-654, -494]",,,,,,,,,,,,,,148832b8-0ab8-43c2-bdcb-8432f4e3f396,"""T2_NEED4FLAGELLA""",,,,,,,,,,,8b021ed0-528c-42e1-b7c2-e6768716aae6,,23181973-5361-4278-91a8-f2e9dddce069,tutorial.Checkpoint04,2018-05-04 08:04:13.587000+00:00,hint,2018-05-04 08:04:13.441000+00:00
15572,"[-666, -491]",,,,,,,"""slot0[PRCONS:RBS1:MOV:DTER]""","""DTER""",,"""100""",,,"""100""",148832b8-0ab8-43c2-bdcb-8432f4e3f396,,,,,,,,,,,,e91fe425-d453-4399-b2f4-d96345af6ac0,,23181973-5361-4278-91a8-f2e9dddce069,tutorial.Checkpoint04,2018-05-04 08:04:17.031000+00:00,pickup,2018-05-04 08:04:16.034000+00:00
15573,"[-666, -491]",,,,,,,,,,,,,,148832b8-0ab8-43c2-bdcb-8432f4e3f396,"""T2_DTER""",,,,,,,,,,,07df8fb5-8ea4-4ec3-a9e9-1bc40576166b,,23181973-5361-4278-91a8-f2e9dddce069,tutorial.Checkpoint04,2018-05-04 08:04:17.032000+00:00,hint,2018-05-04 08:04:16.032000+00:00
15574,"[-685, -494]",,"""DTER""",,,,,"""slot0[PRCONS:RBS1:MOV:DTER]""",,,"""100""",,,"""100""",148832b8-0ab8-43c2-bdcb-8432f4e3f396,,,,,,,,,,,,8049c5e3-7ef4-4a3e-b629-bc918faa8b34,,23181973-5361-4278-91a8-f2e9dddce069,tutorial.Checkpoint04,2018-05-04 08:04:23.166000+00:00,add,2018-05-04 08:04:22.987000+00:00
15575,"[-687, -209]",,,,,,,,,,,,,,148832b8-0ab8-43c2-bdcb-8432f4e3f396,"""T1_PRBAD3""",,,,,,,,,,,8b2c640a-f84e-4359-859e-a74e946e2ee0,,23181973-5361-4278-91a8-f2e9dddce069,tutorial.Checkpoint04,2018-05-04 08:04:49.099000+00:00,hint,2018-05-04 08:04:48.910000+00:00
15576,"[-687, -209]",,,,,,,"""slot0[PRCONS:RBS1:MOV:DTER]""","""PRBAD3""",,"""100""",,,"""100""",148832b8-0ab8-43c2-bdcb-8432f4e3f396,,,,,,,,,,,,1b5b7482-f747-4e7c-9574-d7e77bc2462f,,23181973-5361-4278-91a8-f2e9dddce069,tutorial.Checkpoint04,2018-05-04 08:04:49.103000+00:00,pickup,2018-05-04 08:04:48.912000+00:00
15577,"[-609, -160]",,,,,,,,,,,,,,148832b8-0ab8-43c2-bdcb-8432f4e3f396,"""T1_PLASMID""",,,,,,,,,,,5d14105e-d826-434f-87ea-e1ee1eda8e45,,23181973-5361-4278-91a8-f2e9dddce069,tutorial.Checkpoint04,2018-05-04 08:05:17.469000+00:00,hint,2018-05-04 08:05:17.283000+00:00
15578,"[-609, -160]",,,,,,,"""slot0[PRCONS:RBS1:MOV:DTER]""",,,"""100""",,,"""100""",148832b8-0ab8-43c2-bdcb-8432f4e3f396,,,,,"""Plasmid""",,,,,,,260bbad5-1eba-4403-841d-281adb1d0ccd,,23181973-5361-4278-91a8-f2e9dddce069,tutorial.Checkpoint04,2018-05-04 08:05:17.471000+00:00,pickup,2018-05-04 08:05:17.284000+00:00
