,Timestamp,Want to learn more about Biology,Want to learn more about Synthetic biology,Want to learn more about Video games,Want to learn more about Engineering,Played Hero.Coli,Age,Gender,Interested in video games,Interested in biology,Studied biology,Play video games,Heard about Synthetic biology or BioBricks,Volunteered to answer more questions,Enjoyed playing,Genotype and phenotype,BioBricks and devices composition,Ampicillin antibiotic,Name: Plasmid,Function: TER,Name: PR,Function - game: CDS,Name: TER,Function - biology: CDS,Name: RBS,Example: CDS,Name: CDS,Function: PR,Function: RBS,Function: Plasmid,Name: Operator XXX,Device: RBS:PCONS:FLHDC:TER XXX,Device: PCONS:RBS:FLHDC:TER,Device: PBAD:RBS:GFP:TER,Device: PBAD:GFP:RBS:TER XXX,Device: GFP:RBS:PCONS:TER XXX,Device: PCONS:GFP:RBS:TER XXX,Device: AMPR:RBS:PCONS:TER XXX,Device: RBS:PCONS:AMPR:TER XXX,Green fluorescence,Unequip the movement device: effect,Device: PBAD:RBS:ARA:TER,Remarks,userId,Language,Temporality
391,2018-05-25 18:49:21+00:00,Moderately,Moderately,Extremely,Moderately,No / not yet,37,Male,Extremely,Moderately,At least until master's degree,A lot,No,Yes,Not applicable: not played yet,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,The 5 questions should really be asked AFTER playing the game ;),1860cc8d-9fbe-4f0a-b65c-616d355259a6,en,pretest
392,2018-05-25 20:01:00+00:00,Extremely,Not at all,Extremely,Not at all,No / not yet,15,Male,Extremely,Extremely,Not even in middle school,Extremely,"Yes, and I know what it means",Yes,Extremely,Gather nanorobots,RNA sequences,Ampicillin,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,5cd4c6ce-1d66-4a7e-8f6d-e1c52637f9d9,en,pretest
393,2018-05-26 07:53:37+00:00,Extremely,Extremely,Slightly,Extremely,No / not yet,23,Prefer not to say,Slightly,Extremely,Until bachelor's degree,Moderately,"Yes, and I know what it means",Yes,Not applicable: not played yet,I don't know,DNA sequences,Ampicillin,Plasmid,TER,CDS,I don't know,TER,Plasmid,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,"It produces more and more arabinose after being induced, because it induces itself",,5c160c42-45fa-4b77-b318-07aa04a4daee,en,pretest
395,2018-05-27 14:41:19+00:00,A lot,Extremely,Not at all,Not at all,No / not yet,22,Male,Slightly,Extremely,Until the end of middle school,Not at all,"Yes, and I know what it means",Yes,Not applicable: not played yet,I don't know,DNA sequences,Ampicillin,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,81c048bb-185e-4701-b2e5-41678de9b06b,en,pretest
396,2018-05-27 20:49:09+00:00,Extremely,Moderately,Not at all,Not at all,No / not yet,17,Male,A lot,A lot,Until the end of high school,Moderately,No,Yes,Not applicable: not played yet,Edit the DNA of the bacterium,I don't know,Ampicillin,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,Why did i have to take this survey if I have not yet played the game,b39d8a5d-5f26-4369-8570-5554c330e627,en,pretest
397,2018-05-27 21:19:26+00:00,Moderately,Slightly,Extremely,A lot,No / not yet,29,Female,Extremely,Moderately,Until the end of high school,Moderately,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a11816d6-dc4d-4b22-8292-35a30ce59a25,en,pretest
401,2018-05-29 10:26:41+00:00,Not at all,Not at all,Not at all,Not at all,I just played for the first time,,,,,,,,,Not applicable: not played yet,Gather nanorobots,RNA sequences,Ampicillin,None of these,None of these,None of these,None of these,None of these,None of these,None of these,None of these,None of these,None of these,None of these,None of these,None of these,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,"Under blue light, when the GFP device is equipped",The bacterium glows,It produces arabinose all the time,,d8caa333-f0a9-4fd5-a33b-7aeb5920a62c,en,posttest
402,2018-05-29 23:49:14+00:00,Extremely,Extremely,Extremely,Extremely,No / not yet,3,Prefer not to say,Moderately,Extremely,Not even in middle school,Extremely,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sfdds,bb7881e1-4c00-403e-9104-b9f5ff1143c6,en,pretest
405,2018-05-30 03:10:48+00:00,Moderately,Extremely,Moderately,Moderately,No / not yet,23,Other,Moderately,A lot,Until the end of high school,Moderately,"Yes, and I know what it means",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70933fd6-5aa6-45b5-8090-8abe90eb85da,en,pretest
406,2018-05-30 09:04:16+00:00,Extremely,Extremely,Extremely,Extremely,No / not yet,24,Male,Extremely,Extremely,Until the end of high school,Extremely,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9e5a9706-d798-4d18-afa8-6159dda2a931,en,pretest
