,Timestamp,Want to learn more about Biology,Want to learn more about Synthetic biology,Want to learn more about Video games,Want to learn more about Engineering,Played Hero.Coli,Age,Gender,Interested in video games,Interested in biology,Studied biology,Play video games,Heard about Synthetic biology or BioBricks,Volunteered to answer more questions,Enjoyed playing,Genotype and phenotype,BioBricks and devices composition,Ampicillin antibiotic,Name: Plasmid,Function: TER,Name: PR,Function - game: CDS,Name: TER,Function - biology: CDS,Name: RBS,Example: CDS,Name: CDS,Function: PR,Function: RBS,Function: Plasmid,Name: Operator XXX,Device: RBS:PCONS:FLHDC:TER XXX,Device: PCONS:RBS:FLHDC:TER,Device: PBAD:RBS:GFP:TER,Device: PBAD:GFP:RBS:TER XXX,Device: GFP:RBS:PCONS:TER XXX,Device: PCONS:GFP:RBS:TER XXX,Device: AMPR:RBS:PCONS:TER XXX,Device: RBS:PCONS:AMPR:TER XXX,Green fluorescence,Unequip the movement device: effect,Device: PBAD:RBS:ARA:TER,Remarks,userId,Language,Temporality
718,2018-04-18 11:26:47+00:00,Moderately,Moderately,Extremely,Extremely,No / not yet,15,Male,A lot,Moderately,Until the end of middle school,A lot,"Yes, but I don't exactly know what it means",Yes,Not applicable: not played yet,Edit the DNA of the bacterium,DNA sequences,Ampicillin,I don't know,Plasmid,I don't know,I don't know,I don't know,TER,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,75ad8bbf-c050-45ee-9376-29abae836ebd,fr,pretest
719,2018-04-18 11:31:03+00:00,A lot,Moderately,Extremely,Slightly,I just played for the first time,13,Male,Extremely,A lot,Not even in middle school,Extremely,"Yes, but I don't exactly know what it means",Yes,A bit,Edit the DNA of the bacterium,DNA sequences,I don't know,Plasmid,None of these,CDS,RBS,I don't know,I don't know,CDS,I don't know,PR,RBS,TER,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,"Under blue light, all the time",Flagella quickly disappear one by one,It produces arabinose all the time,,8aa79db1-5df8-41c4-9c05-b69a23085da7,fr,posttest
720,2018-04-18 11:36:24+00:00,Not at all,Not at all,Extremely,Not at all,I just played for the first time,13,Male,A lot,Not at all,Not even in middle school,Rarely,No,No,A lot,Gather nanobots,Amino-acids,I don't know,PR,RBS,CDS,PR,I don't know,CDS,PR,CDS,CDS,PR,Plasmid,RBS,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,d898b896-a46d-44b5-ab49-cb4889234036,fr,posttest
721,2018-04-18 11:40:48+00:00,Moderately,Slightly,A lot,Moderately,I just played for the first time,12,Male,Extremely,Moderately,Not even in middle school,Moderately,No,No,Moderately,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,"Under blue light, when the GFP device is equipped",I don't know,I don't know,,04424c3f-9418-4752-ba1d-5c6fda1cd6c2,fr,posttest
722,2018-04-18 11:41:27+00:00,Moderately,Slightly,A lot,A lot,No / not yet,12,Male,A lot,A lot,Not even in middle school,A lot,No,Yes,A lot,I don't know,RNA sequences,I don't know,I don't know,RBS,I don't know,I don't know,TER,I don't know,RBS,I don't know,PR,I don't know,I don't know,TER,Plasmid,I don't know,It generates green fluorescence,I don't know,It generates green fluorescence in presence of arabinose inducer,I don't know,I don't know,I don't know,I don't know,"Under blue light, all the time",The bacterium dies,I don't know,,d7381383-9329-4e5f-99ae-796d41b5eece,fr,pretest
723,2018-04-18 11:45:42+00:00,Moderately,A lot,Extremely,A lot,No / not yet,13,Male,A lot,Moderately,Not even in middle school,A lot,"Yes, but I don't exactly know what it means",Yes,Not applicable: not played yet,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,abfc0fa2-800d-43b5-b2da-88131412cef4,fr,pretest
724,2018-04-18 11:57:05+00:00,Moderately,A lot,A lot,Moderately,No / not yet,17,Male,Extremely,Slightly,Until the end of middle school,Extremely,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d12122d2-dc92-4896-8ddd-fd9d4ed0621b,fr,pretest
725,2018-04-18 11:57:41+00:00,A lot,Slightly,Extremely,Extremely,I played it multiple times recently on this computer,,,,,,,,,Not applicable: not played yet,Edit the DNA of the bacterium,Proteins,GFP,CDS,PR,PR,PR,I don't know,PR,RBS,CDS,PR,I don't know,Plasmid,CDS,PR,It makes it possible to move faster,It generates green fluorescence in presence of arabinose inducer,The bricks are not well-ordered,It makes it possible to move faster,It generates green fluorescence in presence of arabinose inducer,It generates green fluorescence in presence of arabinose inducer,It generates green fluorescence in presence of arabinose inducer,It makes it possible to move faster,"Under blue light, all the time",Flagella quickly disappear one by one,It produces nothing since it induces itself,,c4178328-6d74-4c09-8f02-c47bd19f7333,fr,posttest
726,2018-04-18 12:19:16+00:00,Moderately,Moderately,A lot,Moderately,No / not yet,19,Male,A lot,Moderately,Until the end of middle school,Extremely,No,Yes,Not applicable: not played yet,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,7d7b1f64-58f4-458b-8bb4-a85c90692fa7,fr,pretest
727,2018-04-18 12:20:39+00:00,Moderately,Moderately,Extremely,Extremely,I just played for the first time,15,Male,A lot,Moderately,Until the end of middle school,A lot,"Yes, but I don't exactly know what it means",Yes,Moderately,Edit the DNA of the bacterium,DNA sequences,Ampicillin,None of these,TER,RBS,Plasmid,TER,Plasmid,CDS,CDS,Plasmid,PR,RBS,None of these,CDS,The bricks are not well-ordered,It makes it possible to move faster,It generates green fluorescence in presence of arabinose inducer,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,"Under blue light, when the GFP device is equipped",Flagella quickly disappear one by one,"It produces more and more arabinose after being induced, because it induces itself",Il serait bien d'avoir un raccourci clavier pour changer la construction indiqués par un message. Une fonction pour pouvoir rapidement échanger un bloc entre deux séquences serait bien.,75ad8bbf-c050-45ee-9376-29abae836ebd,fr,posttest
728,2018-04-18 12:22:50+00:00,Extremely,Moderately,Moderately,Slightly,I just played for the first time,,,,,,,,,Not applicable: not played yet,Edit the DNA of the bacterium,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,None of these,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,The bacterium dies,I don't know,,a657b554-ecee-4708-9075-688a1d58d3e4,fr,posttest
729,2018-04-18 12:27:00+00:00,Not at all,Not at all,Not at all,Not at all,No / not yet,21,Male,A lot,Slightly,Until the end of high school,Moderately,No,Yes,Not applicable: not played yet,Divide the bacterium,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,b2a608e2-a35d-47fc-9f64-9ea042b3e68f,fr,pretest
730,2018-04-18 12:32:48+00:00,Extremely,Extremely,Moderately,A lot,No / not yet,24,Female,Moderately,Extremely,Until bachelor's degree,Moderately,"Yes, but I don't exactly know what it means",Yes,Not applicable: not played yet,Edit the DNA of the bacterium,Proteins,Ampicillin,I don't know,I don't know,I don't know,I don't know,TER,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,The bacterium dies,It produces arabinose all the time,,96470842-aa9a-4802-9e23-38060a1980b4,fr,pretest
731,2018-04-18 12:37:02+00:00,Moderately,A lot,Extremely,A lot,I just played for the first time,13,Male,A lot,Moderately,Not even in middle school,A lot,"Yes, but I don't exactly know what it means",Yes,Extremely,Edit the DNA of the bacterium,DNA sequences,Ampicillin,I don't know,None of these,I don't know,PR,None of these,Plasmid,I don't know,PR,I don't know,None of these,RBS,Plasmid,TER,The bricks are not well-ordered,It generates green fluorescence,The bricks are not well-ordered,The bricks are not well-ordered,It makes it possible to move faster,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,"Under blue light, when the GFP device is equipped",Flagella quickly disappear one by one,It produces arabinose all the time,,abfc0fa2-800d-43b5-b2da-88131412cef4,fr,posttest
