,antecedants,consequents,support,confidence
153,"frozenset({'Q26', 'Q20', 'Q1'})","frozenset({'Q27', 'Q19'})",133,0.9366197183098591
154,"frozenset({'Q26', 'Q20'})","frozenset({'Q1', 'Q27', 'Q19'})",133,0.8580645161290322
155,"frozenset({'Q26', 'Q20', 'Q1', 'Q27'})",frozenset({'Q19'}),133,0.9925373134328358
156,"frozenset({'Q26', 'Q20', 'Q27'})","frozenset({'Q1', 'Q19'})",133,0.9047619047619048
157,"frozenset({'Q22', 'Q21', 'Q20', 'Q19'})",frozenset({'Q26'}),125,0.9765625
158,"frozenset({'Q22', 'Q20', 'Q19'})","frozenset({'Q26', 'Q21'})",125,0.9615384615384616
159,"frozenset({'Q22', 'Q19'})","frozenset({'Q26', 'Q21', 'Q20'})",125,0.8928571428571429
160,frozenset({'Q22'}),"frozenset({'Q26', 'Q21', 'Q20', 'Q19'})",125,0.8680555555555556
161,"frozenset({'Q22', 'Q20'})","frozenset({'Q26', 'Q21', 'Q19'})",125,0.9615384615384616
162,"frozenset({'Q22', 'Q21', 'Q19'})","frozenset({'Q26', 'Q20'})",125,0.9259259259259259
163,"frozenset({'Q22', 'Q21'})","frozenset({'Q26', 'Q20', 'Q19'})",125,0.9259259259259259
164,"frozenset({'Q22', 'Q21', 'Q20'})","frozenset({'Q26', 'Q19'})",125,0.9765625
165,"frozenset({'Q26', 'Q20', 'Q22', 'Q19'})",frozenset({'Q21'}),125,0.9920634920634921
166,"frozenset({'Q26', 'Q22', 'Q19'})","frozenset({'Q20', 'Q21'})",125,0.9328358208955224
167,"frozenset({'Q26', 'Q22'})","frozenset({'Q20', 'Q21', 'Q19'})",125,0.9191176470588235
168,"frozenset({'Q26', 'Q20', 'Q22'})","frozenset({'Q21', 'Q19'})",125,0.9920634920634921
169,"frozenset({'Q26', 'Q21', 'Q22', 'Q19'})",frozenset({'Q20'}),125,0.9541984732824428
170,"frozenset({'Q26', 'Q21', 'Q22'})","frozenset({'Q20', 'Q19'})",125,0.9541984732824428
171,"frozenset({'Q26', 'Q21', 'Q22', 'Q20'})",frozenset({'Q19'}),125,1.0
172,"frozenset({'Q2', 'Q21', 'Q27', 'Q19'})",frozenset({'Q26'}),117,1.0
173,"frozenset({'Q2', 'Q27', 'Q19'})","frozenset({'Q26', 'Q21'})",117,0.9669421487603306
174,"frozenset({'Q2', 'Q21', 'Q27'})","frozenset({'Q26', 'Q19'})",117,0.9831932773109243
175,"frozenset({'Q26', 'Q2', 'Q27', 'Q19'})",frozenset({'Q21'}),117,0.975
176,"frozenset({'Q26', 'Q2', 'Q21', 'Q19'})",frozenset({'Q27'}),117,0.9669421487603306
177,"frozenset({'Q2', 'Q21', 'Q19'})","frozenset({'Q26', 'Q27'})",117,0.9512195121951219
178,"frozenset({'Q2', 'Q19'})","frozenset({'Q26', 'Q21', 'Q27'})",117,0.8931297709923665
179,"frozenset({'Q2', 'Q21'})","frozenset({'Q26', 'Q27', 'Q19'})",117,0.936
180,"frozenset({'Q26', 'Q2', 'Q19'})","frozenset({'Q21', 'Q27'})",117,0.9285714285714286
181,"frozenset({'Q26', 'Q2', 'Q21'})","frozenset({'Q27', 'Q19'})",117,0.9590163934426229
182,"frozenset({'Q26', 'Q2', 'Q21', 'Q27'})",frozenset({'Q19'}),117,0.9915254237288136
183,"frozenset({'Q26', 'Q21', 'Q1', 'Q27'})",frozenset({'Q15'}),117,0.8540145985401459
184,"frozenset({'Q15', 'Q21', 'Q1', 'Q27'})",frozenset({'Q26'}),117,1.0
185,"frozenset({'Q21', 'Q1', 'Q27'})","frozenset({'Q15', 'Q26'})",117,0.8540145985401459
186,"frozenset({'Q15', 'Q1', 'Q27'})","frozenset({'Q26', 'Q21'})",117,0.936
187,"frozenset({'Q15', 'Q21', 'Q27'})","frozenset({'Q26', 'Q1'})",117,0.8931297709923665
