,Timestamp,Want to learn more about Biology,Want to learn more about Synthetic biology,Want to learn more about Video games,Want to learn more about Engineering,Played Hero.Coli,Age,Gender,Interested in video games,Interested in biology,Studied biology,Play video games,Heard about Synthetic biology or BioBricks,Volunteered to answer more questions,Enjoyed playing,Genotype and phenotype,BioBricks and devices composition,Ampicillin antibiotic,Name: Plasmid,Function: TER,Name: PR,Function - game: CDS,Name: TER,Function - biology: CDS,Name: RBS,Example: CDS,Name: CDS,Function: PR,Function: RBS,Function: Plasmid,Name: Operator XXX,Device: RBS:PCONS:FLHDC:TER XXX,Device: PCONS:RBS:FLHDC:TER,Device: PBAD:RBS:GFP:TER,Device: PBAD:GFP:RBS:TER XXX,Device: GFP:RBS:PCONS:TER XXX,Device: PCONS:GFP:RBS:TER XXX,Device: AMPR:RBS:PCONS:TER XXX,Device: RBS:PCONS:AMPR:TER XXX,Green fluorescence,Unequip the movement device: effect,Device: PBAD:RBS:ARA:TER,Remarks,userId,Language,Temporality
780,2018-04-20 14:10:00+00:00,Moderately,Moderately,A lot,Moderately,No / not yet,21,Female,Slightly,Not at all,Until the end of middle school,Rarely,"Yes, but I don't exactly know what it means",Yes,Not applicable: not played yet,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,RBS,None of these,TER,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,5a0be539-f281-451c-b7f2-a63de0594947,fr,pretest
781,2018-04-20 14:26:09+00:00,Moderately,Moderately,Slightly,Moderately,I just played for the first time,21,Female,Extremely,Slightly,Until the end of middle school,Extremely,"Yes, but I don't exactly know what it means",Yes,A lot,Edit the DNA of the bacterium,DNA sequences,Ampicillin,Plasmid,TER,PR,RBS,None of these,I don't know,I don't know,CDS,I don't know,PR,RBS,Plasmid,CDS,The bricks are not well-ordered,It makes it possible to move faster,It generates green fluorescence in presence of arabinose inducer,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,"Under blue light, when the GFP device is equipped",Flagella quickly disappear one by one,"It produces more and more arabinose after being induced, because it induces itself",,5dd359a7-76b4-4458-9e6a-6a373b14eaac,fr,posttest
782,2018-04-20 14:46:40+00:00,A lot,A lot,Extremely,A lot,I just played for the first time,16,Male,Extremely,Moderately,Until the end of middle school,Extremely,No,Yes,Moderately,Edit the DNA of the bacterium,I don't know,Arabinose,CDS,TER,CDS,PR,PR,TER,I don't know,CDS,I don't know,RBS,PR,PR,None of these,The bricks are not well-ordered,It generates green fluorescence in presence of arabinose inducer,It generates green fluorescence,It generates antibiotic resistance,It makes it possible to move faster,It generates green fluorescence in presence of arabinose inducer,I don't know,The bricks are not well-ordered,"In front of the doors, all the time",The bacterium dies,It produces arabinose all the time,"J'ai pas trop compris comment sortir, mais le jeux et quand même bien fait et j'ai bien aimer",ccbfb274-bf92-4d4e-bfe8-eb1626713253,fr,posttest
784,2018-04-20 14:50:33+00:00,Moderately,Slightly,Extremely,A lot,No / not yet,20,Male,Extremely,Not at all,Until the end of middle school,Extremely,No,Yes,Not applicable: not played yet,I don't know,I don't know,I don't know,I don't know,Plasmid,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,fa4a42a7-9752-4fe1-850a-f7486ab28b0d,fr,pretest
786,2018-04-20 15:10:04+00:00,Slightly,Not at all,Extremely,A lot,I just played for the first time,20,Male,Extremely,Not at all,Until the end of middle school,Extremely,No,Yes,A bit,Edit the DNA of the bacterium,DNA sequences,GFP,None of these,RBS,TER,None of these,RBS,TER,None of these,CDS,None of these,TER,None of these,RBS,PR,It makes it possible to move faster,I don't know,It generates antibiotic resistance,It generates green fluorescence,It generates green fluorescence in presence of arabinose inducer,The bricks are not well-ordered,It generates green fluorescence in presence of arabinose inducer,It makes it possible to move faster,"Under blue light, when the GFP device is equipped",Flagella quickly disappear one by one,I don't know,,fa4a42a7-9752-4fe1-850a-f7486ab28b0d,fr,posttest
788,2018-04-20 15:13:24+00:00,Moderately,Moderately,Moderately,Moderately,I just played for the first time,21,Female,Slightly,Not at all,Until the end of middle school,Rarely,"Yes, but I don't exactly know what it means",Yes,A lot,Gather nanobots,RNA sequences,Arabinose,PR,None of these,TER,RBS,None of these,CDS,I don't know,TER,CDS,RBS,RBS,Plasmid,TER,The bricks are not well-ordered,It generates green fluorescence,It makes it possible to move faster,The bricks are not well-ordered,The bricks are not well-ordered,It makes it possible to move faster,The bricks are not well-ordered,The bricks are not well-ordered,"Under blue light, when the GFP device is equipped",Nothing,It is active only in arabinose clouds,,5a0be539-f281-451c-b7f2-a63de0594947,fr,posttest
791,2018-04-20 15:40:14+00:00,A lot,A lot,Extremely,Moderately,No / not yet,28,Male,A lot,Not at all,Until the end of middle school,A lot,No,Yes,Not applicable: not played yet,Edit the DNA of the bacterium,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,6d8206cf-51e3-416f-a6d9-47de3c982a9a,fr,pretest
792,2018-04-20 15:40:28+00:00,Moderately,Moderately,Moderately,Moderately,No / not yet,28,Female,Slightly,Slightly,Until the end of high school,Not at all,"Yes, but I don't exactly know what it means",Yes,Not applicable: not played yet,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,a229dbd5-de78-4abe-bfcc-1716c1dff00f,fr,pretest
796,2018-04-20 16:32:06+00:00,A lot,A lot,A lot,Slightly,I just played for the first time,28,Male,A lot,Not at all,Until the end of middle school,A lot,No,Yes,A bit,Edit the DNA of the bacterium,RNA sequences,Ampicillin,Plasmid,CDS,PR,RBS,TER,I don't know,I don't know,I don't know,I don't know,I don't know,RBS,Plasmid,I don't know,The bricks are not well-ordered,It makes it possible to move faster,It generates green fluorescence in presence of arabinose inducer,I don't know,I don't know,I don't know,I don't know,I don't know,"Under blue light, when the GFP device is equipped",Nothing,I don't know,,6d8206cf-51e3-416f-a6d9-47de3c982a9a,fr,posttest
797,2018-04-20 16:32:51+00:00,Moderately,Slightly,Slightly,Slightly,I just played for the first time,28,Female,Slightly,Slightly,Until the end of high school,Not at all,"Yes, but I don't exactly know what it means",Yes,A bit,Edit the DNA of the bacterium,DNA sequences,Ampicillin,Plasmid,None of these,PR,RBS,None of these,TER,I don't know,I don't know,None of these,I don't know,RBS,None of these,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,"Under blue light, when the GFP device is equipped",Flagella quickly disappear one by one,It produces nothing since it induces itself,,a229dbd5-de78-4abe-bfcc-1716c1dff00f,fr,posttest
