,Timestamp,Are you interested in learning more about...Biology,Are you interested in learning more about...Synthetic biology,Are you interested in learning more about...Video games,Are you interested in learning more about...Engineering,Have you ever played Hero.Coli?,How old are you?,What is your gender?,Are you interested in video games?,Are you interested in biology?,How long have you studied biology?,Do you play video games?,"Have you ever heard about synthetic biology or BioBricks, outside of Hero.Coli?",Do you volunteer to contribute to our study by answering 9 more questions? (5 min),Did you enjoy playing the game?,"In order to modify the abilities of the bacterium, you have to...",What are BioBricks and devices?,Find the antibiotic:,Plasmid is...,Represents the end of a device... TER,Promoter is...,Represents the ability given... CDS,Terminator is...,Codes a protein... CDS,RBS is...,Can represent GFP... CDS,Coding Sequence is...,Controls when the device is active... PR,"Controls the level of expression, and thus how much the ability will be affected... RBS",Makes it possible to equip an additional device. PLASMID,Operator is... XXX,What does this device do? RBS:PCONS:FLHDC:TER XXX,What does this device do? PCONS:RBS:FLHDC:TER,What does this device do? PBAD:RBS:GFP:TER,What does this device do? PBAD:GFP:TBS:TER XXX,What does this device do? GFP:RBS:PCONS:TER XXX,What does this device do? PCONS:GFP:RBS:TER XXX,What does this device do? AMPR:RBS:PCONS:TER XXX,What does this device do? RBS:PCONS:AMPR:TER XXX,When does green fluorescence happen?,What happens when you unequip the movement device?,Last question. Next page only contains remarks.Guess: you have crafted a functional device containing an arabinose-induced promoter and an arabinose Coding Sequence (CDS). What will happen?,You can write down remarks here.,userId,Language,Temporality
373,2018-04-17 14:26:00+00:00,Slightly,Slightly,A lot,Moderately,I just played for the first time,,,,,,,,,A bit,Edit the DNA of the bacterium,I don't know,I don't know,I don't know,I don't know,I don't know,None of these,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,5,I don't know,The bricks are not well-ordered,I don't know,I don't know,I don't know,The bricks are not well-ordered,I don't know,The bricks are not well-ordered,The bricks are not well-ordered,"Under blue light, all the time",Nothing,I don't know,compliqué...,cee3fcf7-d49d-4889-9778-9ae768c39d82,fr,undefined
374,2018-04-17 14:29:34+00:00,Moderately,Moderately,Moderately,Moderately,No / not yet,13,Female,A lot,Moderately,Not even in middle school,A lot,No,Yes,Not applicable: not played yet,Move the bacterium,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,9f4e5e1b-a650-45aa-b72d-b9de5e3083b2,fr,undefined
375,2018-04-17 14:32:07+00:00,Moderately,Moderately,A lot,A lot,No / not yet,50,Female,Moderately,Slightly,Until the end of high school,Not at all,No,Yes,Not applicable: not played yet,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,pas evidente les dernières questions :-),4ddd709e-f420-4586-8327-0e4da00cd9b5,fr,undefined
376,2018-04-17 14:43:28+00:00,Moderately,Slightly,A lot,A lot,I just played for the first time,,,,,,,,,Moderately,Edit the DNA of the bacterium,DNA sequences,Arabinose,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,"Under blue light, all the time",The bacterium dies,It produces nothing since it induces itself,,e4ccc57d-4039-4ef0-98fe-283233bea8be,fr,undefined
377,2018-04-17 14:58:36+00:00,A lot,Moderately,A lot,A lot,No / not yet,17,Male,A lot,Moderately,Not even in middle school,A lot,"Yes, but I don't exactly know what it means",Yes,Not applicable: not played yet,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,cb03d106-69f5-4504-bd05-38c0fef5b63c,fr,undefined
378,2018-04-17 15:08:41+00:00,A lot,A lot,Moderately,Moderately,I just played for the first time,,,,,,,,,Moderately,Gather nanobots,I don't know,Ampicillin,5,I don't know,I don't know,4,1,I don't know,4,I don't know,I don't know,I don't know,I don't know,1,I don't know,It makes it possible to move faster,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,"Under blue light, all the time",Flagella quickly disappear one by one,I don't know,,4ddd709e-f420-4586-8327-0e4da00cd9b5,fr,undefined
379,2018-04-17 15:28:43+00:00,A lot,A lot,A lot,Moderately,I just played for the first time,,,,,,,,,A lot,Divide the bacterium,DNA sequences,I don't know,I don't know,None of these,I don't know,4,None of these,5,I don't know,1,I don't know,I don't know,5,3,I don't know,The bricks are not well-ordered,It makes it possible to move faster,It generates green fluorescence,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,The bricks are not well-ordered,"Under blue light, when the GFP device is equipped",Flagella quickly disappear one by one,I don't know,,5067f639-ea15-472f-8df6-8dd772770de7,fr,undefined
380,2018-04-17 16:03:31+00:00,Slightly,Slightly,A lot,Slightly,No / not yet,15,Female,A lot,Not at all,Not even in middle school,A lot,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,808098d1-b48f-4b0d-93cc-0fdf217b2163,fr,undefined
381,2018-04-17 16:05:34+00:00,Not at all,Not at all,Slightly,Not at all,No / not yet,13,Male,A lot,Not at all,Not even in middle school,Moderately,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0f559518-8273-4252-927a-9751b0826aaf,fr,undefined
382,2018-04-17 16:28:52+00:00,Slightly,Slightly,A lot,Slightly,I just played for the first time,,,,,,,,,A lot,Gather nanobots,I don't know,GFP,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,1,I don't know,I don't know,I don't know,1,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,,808098d1-b48f-4b0d-93cc-0fdf217b2163,fr,undefined
