"Timestamp","Are you interested in learning more about... [Biology]","Are you interested in learning more about... [Synthetic biology]","Are you interested in learning more about... [Video games]","Are you interested in learning more about... [Engineering]","Have you ever played Hero.Coli?","How old are you?"," [What is your gender?]"," [Are you interested in video games?]"," [Are you interested in biology?]"," [How long have you studied biology?]"," [Do you play video games?]"," [Have you ever heard about synthetic biology or BioBricks, outside of Hero.Coli?]","Do you volunteer to contribute to our study by answering 9 more questions? (5 min)"," [Did you enjoy playing the game?]"," [In order to modify the abilities of the bacterium, you have to...]"," [What are BioBricks and devices?]"," [Find the antibiotic:]","BioBricks: [Plasmid is...]","BioBricks: [Represents the end of a device...]","BioBricks: [Promoter is...]","BioBricks: [Represents the ability given...]","BioBricks: [Terminator is...]","BioBricks: [Codes a protein...]","BioBricks: [RBS is...]","BioBricks: [Can represent GFP...]","BioBricks: [Coding Sequence is...]","BioBricks: [Controls when the device is active...]","BioBricks: [Controls the level of expression, and thus how much the ability will be affected...]","BioBricks: [Makes it possible to equip an additional device.]","BioBricks: [Operator is...]"," [device 1]"," [device 2]"," [device 3]"," [device 4]"," [device 5]"," [device 6]"," [device 7]"," [device 8]"," [When does green fluorescence happen?]"," [What happens when you unequip the movement device?]","Last question. Next page only contains remarks. [Guess: you have crafted a functional device containing an arabinose-induced promoter and an arabinose Coding Sequence (CDS). What will happen?]","You can write down remarks here.","⚠ Do not edit"
"2018/04/24 3:24:28 PM GMT+2","Moderately","Moderately","Extremely","A lot","No / not yet","12","Female","Extremely","Moderately","Until the end of middle school","A lot","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","f864bdfb-aefb-4667-bae5-ca10f3ed73ac"
"2018/04/24 4:30:15 PM GMT+2","A lot","A lot","A lot","Moderately","No / not yet","22","Prefer not to say","Not at all","Not at all","Until the end of middle school","Rarely","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4dbec2c0-b62d-4df7-a7f9-26768d5db115"
"2018/04/24 4:33:28 PM GMT+2","A lot","A lot","Extremely","Extremely","No / not yet","21","Male","Extremely","A lot","Until bachelor's degree","Extremely","Yes, and I know what it means","Yes","Not applicable: not played yet","I don't know","DNA sequences","Ampicillin","5","I don't know","I don't know","I don't know","None of these","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","1","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","","ae39a1db-9cb4-4982-8c96-8d675d0be27d"
"2018/04/24 5:06:13 PM GMT+2","Moderately","Moderately","Slightly","Moderately","I just played for the first time","","","","","","","","","A bit","Move the bacterium","Proteins","Ampicillin","I don't know","1","I don't know","I don't know","None of these","1","I don't know","2","I don't know","3","2","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","It generates green fluorescence in presence of arabinose inducer","I don't know","I don't know","I don't know","In front of the doors, when the GFP device is equipped","The bacterium glows","I don't know","","645c63c7-7855-4622-8f54-c28dc40456f7"
"2018/04/24 5:17:29 PM GMT+2","Moderately","Moderately","Extremely","A lot","I just played for the first time","","","","","","","","","A lot","Edit the DNA of the bacterium","DNA sequences","Ampicillin","I don't know","None of these","I don't know","3","5","3","I don't know","3","I don't know","None of these","4","5","I don't know","The bricks are not well-ordered","It makes it possible to move faster","It generates green fluorescence in presence of arabinose inducer","The bricks are not well-ordered","The bricks are not well-ordered","The bricks are not well-ordered","The bricks are not well-ordered","The bricks are not well-ordered","Under blue light, when the GFP device is equipped","Flagella quickly disappear one by one","I don't know","","f864bdfb-aefb-4667-bae5-ca10f3ed73ac"
"2018/04/24 6:27:31 PM GMT+2","Moderately","A lot","Extremely","A lot","No / not yet","46","Female","A lot","A lot","Until the end of high school","Rarely","Yes, but I don't exactly know what it means","Yes","Not applicable: not played yet","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","","98fb2a1e-d01b-4dda-8053-7e6cffabfb2c"
"2018/04/24 10:02:01 PM GMT+2","Moderately","Moderately","Moderately","Moderately","No / not yet","15","Prefer not to say","A lot","Moderately","Until the end of middle school","Moderately","Yes, but I don't exactly know what it means","Yes","Not applicable: not played yet","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","","027fb5ca-c40a-4977-852a-e448538061f2"
"2018/04/25 1:24:53 AM GMT+2","Extremely","Moderately","Not at all","Slightly","I played recently on an other computer","29","Female","Moderately","A lot","Until the end of high school","Moderately","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","756bdf58-4fd5-41b9-bfa3-541831952154"
"2018/04/25 4:45:08 PM GMT+2","Moderately","Moderately","Moderately","Moderately","No / not yet","20","Male","A lot","Moderately","Until the end of high school","A lot","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Hi","51f1ef77-ec48-4976-be1f-89b7cbd1afab"
"2018/04/25 4:47:35 PM GMT+2","A lot","A lot","A lot","Moderately","No / not yet","15","Male","A lot","A lot","Until the end of middle school","Rarely","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1e94b693-df8f-4ad0-9f02-4aac6929bdaa"
